iter	RMSE
376	71324.88462
377	71324.16411
378	71321.16655
379	71313.71112
380	71311.8019
381	71310.56338
382	71307.69629
383	71302.92588
384	71299.7371
385	71296.17998
386	71291.90808
387	71288.32872
388	71284.17807
389	71280.5203
390	71277.87985
391	71274.71492
392	71272.63298
393	71271.71217
394	71266.95183
395	71264.95395
396	71261.47314
397	71260.95179
398	71257.83294
399	71255.69119
400	71253.63992
401	71251.9258
402	71248.49119
403	71244.50371
404	71242.34907
405	71239.49485
406	71237.32132
407	71233.97657
408	71230.82844
409	71227.77074
410	71220.28678
411	71218.1439
412	71214.07975
413	71206.47251
414	71201.05791
415	71198.86446
416	71195.74914
417	71191.36184
418	71188.95871
419	71185.34918
420	71182.36141
421	71180.41429
422	71176.8137
423	71174.46634
424	71170.75292
425	71168.63668
426	71166.00458
427	71163.71939
428	71161.01833
429	71158.37657
430	71157.75129
431	71155.31889
432	71154.11516
433	71149.98794
434	71143.50273
435	71141.72966
436	71139.55627
437	71135.95987
438	71131.47818
439	71130.34286
440	71127.06815
441	71125.51989
442	71124.84114
443	71122.50145
444	71118.26291
445	71115.40684
446	71110.78933
447	71108.02369
448	71104.70102
449	71103.32748
450	71100.09534
451	71096.28416
452	71093.374
453	71090.61707
454	71087.21848
455	71084.69604
456	71081.26274
457	71078.20486
458	71077.05617
459	71073.20306
460	71071.17157
461	71069.51565
462	71066.0597
463	71063.18588
464	71056.93069
465	71056.0603
466	71054.44161
467	71052.02758
468	71048.82128
469	71046.28182
470	71043.84247
471	71040.01261
472	71038.54074
473	71035.68146
474	71032.85026
475	71029.78403
476	71025.68405
477	71022.1226
478	71020.59084
479	71015.9797
480	71013.99042
481	71011.23041
482	71008.57681
483	71006.53407
484	71004.17795
485	71002.31681
486	70999.70047
487	70997.06211
488	70993.9066
489	70990.09599
490	70983.97539
491	70981.4336
492	70978.98889
493	70972.62597
494	70970.2311
495	70969.58849
496	70964.67622
497	70962.84539
498	70959.66641
499	70957.16138
500	70955.64076
501	70954.07621
502	70952.05384
503	70949.93422
504	70947.65461
505	70945.13034
506	70942.05092
507	70938.70793
508	70935.06685
509	70932.10931
510	70927.78098
511	70924.60984
512	70922.09102
513	70919.19568
514	70915.79201
515	70912.72072
516	70910.41482
517	70906.65933
518	70905.16273
519	70901.19046
520	70898.9689
521	70896.63431
522	70893.67203
523	70891.77347
524	70888.37476
525	70885.70715
526	70883.01433
527	70881.57372
528	70878.90899
529	70876.9912
530	70875.55675
531	70871.11824
532	70868.6603
533	70867.32299
534	70864.18682
535	70859.36143
536	70857.63149
537	70854.79317
538	70849.43334
539	70847.73142
540	70844.877
541	70843.31942
542	70840.44599
543	70836.91919
544	70831.72447
545	70831.10572
546	70827.00052
547	70824.88343
548	70822.85738
549	70819.44908
550	70817.39146
551	70814.29392
552	70811.92512
553	70808.48487
554	70806.41122
555	70803.22522
556	70800.33759
557	70797.68551
558	70794.77879
559	70793.93661
560	70783.34246
561	70780.89405
562	70778.08094
563	70775.83981
564	70771.54593
565	70768.8299
566	70766.91542
567	70756.76369
568	70747.16711
569	70744.7426
570	70739.96567
571	70738.30829
572	70737.04085
573	70731.49282
574	70729.81637
575	70728.64943
576	70725.59204
577	70722.08154
578	70721.32972
579	70719.75369
580	70716.73681
581	70712.72879
582	70710.44468
583	70708.0315
584	70701.96829
585	70695.14302
586	70692.60344
587	70689.23607
588	70685.65137
589	70684.0714
590	70678.41848
591	70676.41971
592	70675.15117
593	70672.31496
594	70671.33596
595	70669.88474
596	70666.33999
597	70663.84344
598	70659.96151
599	70657.96851
600	70652.75748
601	70651.2303
602	70648.7962
603	70645.74166
604	70642.3626
605	70640.6368
606	70638.25903
607	70633.99458
608	70631.36776
609	70629.91257
610	70628.23371
611	70625.36412
612	70621.43596
613	70620.38065
614	70613.41517
615	70609.88334
616	70606.39229
617	70604.30325
618	70603.3233
619	70602.0629
620	70598.86767
621	70595.83933
622	70593.62707
623	70590.92626
624	70590.45352
625	70589.96503
626	70584.33294
627	70579.57982
628	70577.74216
629	70575.8288
630	70574.83584
631	70572.61662
632	70570.25547
633	70567.57583
634	70564.82989
635	70562.60405
636	70560.08176
637	70558.45484
638	70557.14949
639	70554.61125
640	70551.86795
641	70549.76784
642	70547.68027
643	70546.1729
644	70543.29997
645	70539.31679
646	70538.78063
647	70534.08122
648	70531.68408
649	70526.15774
650	70523.10419
651	70521.90545
652	70518.0504
653	70514.93655
654	70509.89479
655	70507.92279
656	70504.71384
657	70502.23682
658	70498.26078
659	70496.16853
660	70491.85446
661	70488.93514
662	70486.47019
663	70485.18244
664	70482.3891
665	70479.51041
666	70477.20612
667	70475.53625
668	70473.36757
669	70471.48925
670	70468.64485
671	70466.81692
672	70461.5886
673	70459.92151
674	70457.25346
675	70454.67057
676	70452.44441
677	70451.09605
678	70447.79292
679	70444.44859
680	70441.60941
681	70439.54391
682	70436.04758
683	70433.86504
684	70430.94331
685	70427.56027
686	70425.00156
687	70421.67826
688	70420.43356
689	70419.01508
690	70414.58571
691	70408.54779
692	70406.48131
693	70403.30881
694	70401.11263
695	70398.35387
696	70394.90289
697	70387.21344
698	70385.81642
699	70382.71252
700	70379.03635
701	70376.74774
702	70373.87105
703	70360.76644
704	70357.87013
705	70353.33571
706	70347.37476
707	70345.17366
708	70342.87446
709	70338.35489
710	70335.41338
711	70333.80024
712	70331.71575
713	70329.77988
714	70326.3635
715	70323.73151
716	70321.34935
717	70320.82419
718	70319.6568
719	70316.37597
720	70314.24035
721	70311.75978
722	70310.36759
723	70309.79805
724	70308.01978
725	70303.20051
726	70300.42525
727	70298.24484
728	70295.05796
729	70291.48798
730	70290.87081
731	70288.94014
732	70286.52831
733	70284.77478
734	70282.75848
735	70278.96312
736	70276.63326
737	70271.5649
738	70268.33566
739	70265.30889
740	70263.33003
741	70261.1643
742	70258.99216
743	70256.8358
744	70255.03402
745	70253.08337
746	70249.71393
747	70247.61429
748	70245.00785
749	70242.92707
750	70242.38231
751	70239.59832
752	70237.48253
753	70235.35084
754	70234.26439
755	70231.24566
756	70228.56259
757	70224.5172
758	70222.23938
759	70220.01536
760	70217.12908
761	70214.38211
762	70212.88659
763	70210.77
764	70207.71223
765	70205.56063
766	70199.93256
767	70196.94722
768	70194.64632
769	70191.66075
770	70186.50702
771	70185.56562
772	70183.75251
773	70181.70477
774	70180.46533
775	70178.40165
776	70176.45521
777	70175.4249
778	70170.84065
779	70167.99041
780	70165.8788
781	70164.76273
782	70160.69464
783	70159.44214
784	70157.74251
785	70154.78708
786	70152.01229
787	70149.06296
788	70146.47507
789	70145.44432
790	70131.30731
791	70129.19777
792	70128.50621
793	70125.35603
794	70122.39289
795	70119.83574
796	70115.68571
797	70112.84592
798	70110.78342
799	70109.40945
800	70108.58442
801	70102.11393
802	70101.22534
803	70099.08634
804	70097.22656
805	70096.32521
806	70093.97658
807	70088.66649
808	70087.0318
809	70085.77798
810	70084.11783
811	70082.73381
812	70079.55618
813	70077.66413
814	70073.43224
815	70071.04792
816	70068.62224
817	70065.33919
818	70064.12944
819	70061.61461
820	70059.54108
821	70057.37857
822	70054.54276
823	70052.95809
824	70049.06453
825	70046.45706
826	70044.79597
827	70041.27041
828	70040.19682
829	70037.90666
830	70035.4989
831	70032.93221
832	70030.73077
833	70027.89705
834	70023.46518
835	70021.57162
836	70020.10058
837	70016.98683
838	70013.2565
839	70010.48245
840	70009.19867
841	70008.27712
842	70006.73271
843	70003.68828
844	70002.08339
845	69998.23467
846	69996.38492
847	69993.73417
848	69992.79335
849	69989.68474
850	69987.08459
851	69984.14739
852	69981.86175
853	69978.59053
854	69976.99142
855	69974.11738
856	69968.74731
857	69966.11776
858	69965.46911
859	69963.06839
860	69961.06826
861	69959.25887
862	69957.9487
863	69955.86573
864	69952.98447
865	69951.32752
866	69949.28253
867	69946.97985
868	69944.07277
869	69942.92454
870	69941.01607
871	69938.33777
872	69936.02519
873	69934.69868
874	69932.59594
875	69929.8855
876	69927.35312
877	69926.46231
878	69923.73891
879	69919.97816
880	69917.98315
881	69916.15674
882	69913.7225
883	69912.54195
884	69910.73449
885	69910.38763
886	69907.09078
887	69905.50594
888	69902.93131
889	69901.37502
890	69901.00902
891	69899.06758
892	69895.91343
893	69893.77769
894	69891.88061
895	69888.94259
896	69886.90532
897	69884.63561
898	69882.77012
899	69880.2424
900	69877.05556
901	69874.17741
902	69872.17155
903	69870.13697
904	69866.65035
905	69864.13797
906	69862.35155
907	69859.66386
908	69855.81685
909	69852.5015
910	69846.99787
911	69844.43063
912	69838.63011
913	69833.08078
914	69830.3633
915	69827.79863
916	69823.61532
917	69821.97124
918	69819.40627
919	69816.54805
920	69814.96434
921	69811.46222
922	69809.94533
923	69806.27405
924	69804.56901
925	69801.53488
926	69798.80661
927	69795.83598
928	69792.45722
929	69791.69219
930	69789.85291
931	69788.48537
932	69786.94247
933	69784.56111
934	69782.72483
935	69779.03618
936	69777.22526
937	69775.46849
938	69772.94645
939	69771.03014
940	69768.17951
941	69766.52136
942	69765.58386
943	69763.10291
944	69758.67335
945	69755.77118
946	69750.27905
947	69748.52479
948	69746.48661
949	69743.91248
950	69742.73543
951	69734.41897
952	69733.06948
953	69731.37222
954	69727.25651
955	69724.71358
956	69723.29052
957	69721.60897
958	69719.38812
959	69717.71605
960	69714.59837
961	69711.48693
962	69708.72003
963	69706.16684
964	69702.9497
965	69700.14416
966	69698.00561
967	69695.14241
968	69690.48188
969	69687.49706
970	69686.96392
971	69684.48018
972	69683.40429
973	69680.10309
974	69677.14017
975	69675.52776
976	69674.1484
977	69667.50025
978	69664.85295
979	69663.04225
980	69661.07183
981	69656.87531
982	69654.70988
983	69652.97877
984	69651.39135
985	69646.70872
986	69644.00633
987	69642.22703
988	69639.77683
989	69633.60783
990	69633.20528
991	69631.87939
992	69626.68423
993	69625.85667
994	69624.15999
995	69623.02565
996	69622.20444
997	69618.22607
998	69617.56778
999	69614.62458
1000	69611.45434
1001	69609.72535
1002	69607.14297
1003	69605.99557
1004	69604.73628
1005	69602.28476
1006	69599.68932
1007	69596.51201
1008	69594.22004
1009	69591.72339
1010	69590.02908
1011	69587.63139
1012	69586.1288
1013	69583.67662
1014	69581.22437
1015	69579.60973
1016	69577.17331
1017	69574.63769
1018	69572.08278
1019	69568.64518
1020	69564.98036
1021	69561.75989
1022	69558.16186
1023	69556.73859
1024	69554.35575
1025	69548.94048
1026	69547.86889
1027	69546.94123
1028	69543.09612
1029	69541.42621
1030	69536.40985
1031	69535.05972
1032	69532.36898
1033	69530.18368
1034	69528.17749
1035	69524.36654
1036	69522.60978
1037	69519.52815
1038	69516.20957
1039	69514.4686
1040	69512.65719
1041	69511.80587
1042	69510.45207
1043	69508.16046
1044	69507.14585
1045	69504.15636
1046	69502.13021
1047	69499.64947
1048	69497.60719
1049	69496.28512
1050	69494.42841
1051	69490.83971
1052	69486.14626
1053	69482.31379
1054	69481.33403
1055	69478.32741
1056	69473.54986
1057	69472.41627
1058	69470.7959
1059	69469.41888
1060	69467.94575
1061	69466.3477
1062	69464.68875
1063	69460.3939
1064	69457.96611
1065	69453.68365
1066	69452.38636
1067	69449.85579
1068	69448.70259
1069	69447.13292
1070	69444.65342
1071	69440.53993
1072	69437.62126
1073	69433.65154
1074	69430.84793
1075	69428.88053
1076	69422.38515
1077	69419.69966
1078	69416.15837
1079	69411.66179
1080	69410.37975
1081	69408.57203
1082	69404.99491
1083	69402.453
1084	69400.68354
1085	69399.03906
1086	69397.49712
1087	69396.78544
1088	69395.03828
1089	69393.15001
1090	69391.30978
1091	69388.03636
1092	69386.91099
1093	69385.29503
1094	69382.66582
1095	69381.94117
1096	69379.13868
1097	69376.11481
1098	69373.86686
1099	69372.31795
1100	69371.08649
1101	69368.22262
1102	69366.01612
1103	69363.51126
1104	69362.77678
1105	69361.35913
1106	69358.36335
1107	69355.41556
1108	69353.39469
1109	69351.90306
1110	69351.33848
1111	69349.15068
1112	69347.49215
1113	69345.4518
1114	69344.55673
1115	69342.41363
1116	69340.9731
1117	69339.0994
1118	69337.89944
1119	69336.33368
1120	69334.0331
1121	69328.24443
1122	69327.21757
1123	69325.36596
1124	69323.09711
1125	69322.1504
1126	69321.25182
1127	69319.05344
1128	69317.80178
1129	69316.31901
1130	69313.95358
1131	69312.4579
1132	69310.39084
1133	69307.31903
1134	69306.16025
1135	69304.53599
1136	69302.49117
1137	69300.69669
1138	69299.16861
1139	69288.63168
1140	69285.941
1141	69283.96628
1142	69283.06077
1143	69281.7892
1144	69279.74049
1145	69278.08672
1146	69272.28695
1147	69269.73052
1148	69266.92028
1149	69263.34548
1150	69260.91721
1151	69257.46417
1152	69252.99584
1153	69251.49563
1154	69249.60666
1155	69247.31605
1156	69245.55227
1157	69241.6872
1158	69237.3271
1159	69235.57913
1160	69233.6126
1161	69232.01878
1162	69228.83745
1163	69227.51024
1164	69225.33139
1165	69222.37793
1166	69221.10845
1167	69219.96108
1168	69217.44772
1169	69215.78603
1170	69211.67501
1171	69208.99742
1172	69207.8177
1173	69203.12435
1174	69201.3723
1175	69198.63
1176	69196.38272
1177	69195.49215
1178	69192.52134
1179	69190.11953
1180	69187.78515
1181	69186.18062
1182	69184.41528
1183	69183.59208
1184	69179.94223
1185	69178.01915
1186	69174.96719
1187	69170.78943
1188	69167.64066
1189	69164.65257
1190	69162.09217
1191	69158.3672
1192	69155.69398
1193	69154.6356
1194	69152.74076
1195	69150.62068
1196	69146.91118
1197	69144.4016
1198	69142.75102
1199	69138.35572
1200	69136.6696
1201	69135.17008
1202	69134.03093
1203	69132.51204
1204	69129.74771
1205	69122.47432
1206	69121.65038
1207	69120.07972
1208	69118.68606
1209	69114.26347
1210	69110.81598
1211	69107.5003
1212	69103.93979
1213	69100.6753
1214	69099.02689
1215	69096.92126
1216	69094.49036
1217	69093.51476
1218	69091.11916
1219	69089.04226
1220	69087.40002
1221	69086.07654
1222	69083.06883
1223	69080.79524
1224	69079.31705
1225	69075.52964
1226	69073.4555
1227	69070.97546
1228	69069.13631
1229	69068.52755
1230	69067.06198
1231	69064.41743
1232	69062.8197
1233	69061.02865
1234	69058.39032
1235	69056.83433
1236	69055.2171
1237	69052.58176
1238	69048.722
1239	69047.38489
1240	69046.39574
1241	69042.93197
1242	69040.2156
1243	69037.86971
1244	69036.38738
1245	69034.37651
1246	69032.46227
1247	69030.2837
1248	69028.00515
1249	69027.21876
1250	69025.63951
1251	69024.46633
1252	69022.98048
1253	69018.91278
1254	69017.68791
1255	69016.08265
1256	69013.7843
1257	69011.76955
1258	69010.24152
1259	69008.80695
1260	69006.33749
1261	69003.39078
1262	69000.37301
1263	68997.99675
1264	68995.73971
1265	68994.84977
1266	68992.66356
1267	68989.47442
1268	68987.28159
1269	68985.90782
1270	68985.27897
1271	68983.36014
1272	68981.12197
1273	68977.10017
1274	68974.68763
1275	68971.56862
1276	68970.05905
1277	68964.61726
1278	68963.41723
1279	68962.76559
1280	68959.21374
1281	68958.13621
1282	68956.08757
1283	68953.57428
1284	68951.28997
1285	68949.45408
1286	68948.40222
1287	68947.07284
1288	68945.86283
1289	68943.89127
1290	68942.42627
1291	68939.94798
1292	68938.3635
1293	68935.14925
1294	68934.14558
1295	68931.64116
1296	68929.92417
1297	68927.72299
1298	68926.41904
1299	68923.43986
1300	68922.45538
1301	68921.94861
1302	68920.49606
1303	68918.99507
1304	68916.93558
1305	68915.08586
1306	68914.30141
1307	68912.81965
1308	68911.354
1309	68909.73335
1310	68906.56619
1311	68904.23513
1312	68901.4132
1313	68898.5621
1314	68897.50623
1315	68896.15327
1316	68894.78091
1317	68893.46018
1318	68891.2417
1319	68889.12971
